"visitor_id";"visit_date";"utm_source";"utm_medium";"utm_campaign";"lead_id";"created_at";"amount";"closing_reason";"status_id"
"54ac1ed8b3671cea2e3180c6d16d282fe27886ea";2023-06-01 00:00:07.440;google;organic;;;;;;
"5eef28dbbb627ff040334ecaf3358f008ce7f333";2023-06-01 00:00:26.674;google;organic;;;;;;
eb598af8acaf162f72f2ad743e7abd28a2a8ba53;2023-06-01 00:00:34.011;google;organic;;;;;;
db60efcf878d3b5b96cac712de1200374141b1a4;2023-06-01 00:00:42.385;google;organic;;;;;;
"2bd276d6571823f3612103da2d8dbb0d833c4ac3";2023-06-01 00:01:06.955;organic;organic;;;;;;
d035b65f628fce7bdf321997510642a6c28da169;2023-06-01 00:01:29.555;google;organic;;;;;;
c0964d928ff67a39982b774c30cc441bfb41d913;2023-06-01 00:01:52.611;google;organic;;;;;;
"68e55ad7c9bd7fb9dfd464266e4fb2a568cd6976";2023-06-01 00:02:20.415;google;organic;;;;;;
"2bbe5564b3ef1374f11756199f009d2f4dc84fac";2023-06-01 00:03:26.933;google;organic;;;;;;
"75a782be0fe1da0117fa95876631010af88f8400";2023-06-01 00:03:28.986;organic;organic;;;;;;
